t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
7.48,1.6222933297817984e-06,1.0233359463993573e-05,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.5,1.541817082214333e-06,9.708313130835676e-06,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.5200000000000005,1.4652454718908399e-06,9.20978704650311e-06,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.54,1.3923943054721347e-06,8.736465975150771e-06,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.5600000000000005,1.3230877557849563e-06,8.287098481278447e-06,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.58,1.2571580022091338e-06,7.86049391158761e-06,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.6000000000000005,1.1944448851838075e-06,7.455519522736404e-06,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.62,1.1347955743741992e-06,7.071097741664779e-06,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.640000000000001,1.0780642500450293e-06,6.706203376968024e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.66,1.0241117972458375e-06,6.35986181884428e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.68,9.728055122191074e-07,6.031145654479939e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.7,9.240188206940221e-07,5.719172979010653e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.72,8.776310077711871e-07,5.42310515401721e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.74,8.33526958842182e-07,5.142144720400434e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.76,7.91596911174184e-07,4.875533421428776e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.78,7.51736215779725e-07,4.622550321006509e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.8,7.138451091966255e-07,4.382510010346512e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.82,6.778284948118868e-07,4.154760898343618e-06,0.0,-2.006155031778712,0.9998480579210953,0.00029192393229111364,0.0002929283457804355,58.046102322597086,61.64638346999398,10.959357061332263
7.84,6.435957333733571e-07,3.938683703207915e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
7.86,6.110604423074971e-07,3.7336893667768716e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
7.88,5.801403036274559e-07,3.539218428295658e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
7.9,5.507568800115316e-07,3.3547390450557427e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
7.92,5.228354386526894e-07,3.179745742051493e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
