t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
11.88,0.002449007530349465,0.5785063111468134,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
11.9,0.0024024648262158817,0.5445104113207396,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
11.92,0.002348764305259728,0.5288561782548623,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
11.94,0.002306059998590293,0.5297984304669952,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
11.96,0.0022811189882128136,0.5405339798823299,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
11.98,0.002271856672618363,0.5538304963505714,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
12.0,0.0022714277971078015,0.5642815768274863,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
12.02,0.0022718832728086274,0.5689452438271133,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
12.040000000000001,0.002266568560710636,0.6530963327830546,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.06,0.0022259803664107327,0.6112438151667418,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.08,0.002132797484491838,0.5362122862743434,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.1,0.002014782697481375,0.48024587277109515,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.120000000000001,0.0019025000791492784,0.4554674791827843,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.14,0.0018106869648076831,0.45108504314980574,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.16,0.0017379897009967408,0.45110303211739483,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.18,0.0016748362212586835,0.4446227040801682,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.200000000000001,0.001611292191250602,0.42823917491857943,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.22,0.0015412319585574874,0.4037536234662094,0.0,-1.950194311329939,0.8796522730127818,5.912398253263649e-05,0.0002564744231777808,307.2511710914551,109.21670906890373,19.416303834471773
12.24,0.0014628184824866143,0.3794526828355319,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.26,0.001375590377207257,0.34849818642153835,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.280000000000001,0.001280091078709997,0.3153120824134367,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.3,0.0011786393699825498,0.282017831286014,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.32,0.001073489883722158,0.24923755194076208,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.34,0.0009661087369323283,0.2167727857721335,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.36,0.0008571266761324601,0.18413617283550252,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.38,0.0007466141221697726,0.15089352112355836,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.4,0.0006344237108116815,0.11682135021446201,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
12.42,0.0005204559036580654,0.08192501605911441,0.0,-1.8643167431979295,0.780502054487153,4.238306980246749e-05,0.0003185485331968617,301.89636349191085,90.88527828145521,16.157382805592036
